VirtuoZo　质检记录
/* 每项记录包含以下信息:
 * (1)点名;
 * (2)点的X坐标;
 * (3)点的Y坐标;
 * (4)点的Z坐标;
 * (5)从DEM内插得到的Z坐标;
 * (6)Z的误差值;
 */

质检类型:DEM保密点检查
点数=15

       ID              X0                Y0              Z0               Z                Z
------------------------------------------------------------------------------------------------
        1157        13561.393	      12644.357	        791.479	        791.960	          0.481
        6156        14947.986	      10435.860	        765.182	        764.706	         -0.476
        3264        13491.930	       7700.217	        755.624	        755.181	         -0.443
        2155        16246.429	      11481.730	        811.794	        812.200	          0.406
        6265        14888.312	       7769.835	        707.615	        707.219	         -0.396
        6157        13515.624	      10360.523	        944.991	        944.606	         -0.385
        2156        14885.665	      11308.226	       1016.443	       1016.171	         -0.272
        2265        14787.371	       9101.982	        786.751	        786.482	         -0.269
        1155        16311.749	      12631.929	        770.666	        770.468	         -0.198
        6266        16232.309	       7741.696	        703.121	        703.308	          0.187
        6155        16340.235	      10314.228	        751.178	        751.325	          0.147
        2264        13503.396	       9190.630	        839.260	        839.165	         -0.095
        2157        13535.400	      11444.393	        895.774	        895.862	          0.088
        1156        14936.858	      12482.769	        762.349	        762.264	         -0.085
        2266        16327.646	       9002.483	        748.470	        748.512	          0.042

RMS: 0.305 米
